female,black,housing_expense_ratio,self_employed,married,mortgage_credit,consumer_credit,bad_history,PI_ratio,deny,loan_to_value,denied_PMI,accept
1.0,0.0,0.221,0.0,1.0,2.0,5.0,0.0,0.221,0.0,0.8,0.0,1.0
0.0,0.0,0.265,0.0,0.0,2.0,2.0,0.0,0.265,0.0,0.921875,0.0,1.0
0.0,0.0,0.248,0.0,1.0,2.0,1.0,0.0,0.372,0.0,0.920398,0.0,1.0
0.0,0.0,0.25,0.0,1.0,2.0,1.0,0.0,0.32,0.0,0.8604651,0.0,1.0
0.0,0.0,0.35,0.0,1.0,1.0,1.0,0.0,0.36,0.0,0.6,0.0,1.0
0.0,0.0,0.17,0.0,1.0,1.0,1.0,0.0,0.24,0.0,0.5105263,0.0,1.0
1.0,0.0,0.29,0.0,0.0,2.0,1.0,0.0,0.35,0.0,0.74666667,0.0,1.0
0.0,0.0,0.22,0.0,1.0,2.0,2.0,0.0,0.28,0.0,0.85,0.0,1.0
0.0,0.0,0.24,0.0,1.0,2.0,2.0,0.0,0.31,1.0,0.89726025,1.0,0.0
1.0,0.0,0.17,0.0,0.0,1.0,2.0,0.0,0.18,0.0,0.35874438,0.0,1.0
1.0,0.0,0.27,0.0,0.0,2.0,1.0,0.0,0.28,0.0,0.2238806,0.0,1.0
0.0,0.0,0.3,0.0,0.0,2.0,1.0,0.0,0.31,0.0,0.6888889,0.0,1.0
0.0,0.0,0.27,0.0,1.0,2.0,1.0,0.0,0.28,1.0,0.53763443,1.0,0.0
0.0,0.0,0.34,0.0,1.0,1.0,1.0,0.0,0.36,0.0,0.6494382,0.0,1.0
0.0,0.0,0.15,0.0,1.0,1.0,1.0,0.0,0.18,0.0,0.3625,0.0,1.0
0.0,0.0,0.27,0.0,1.0,1.0,2.0,0.0,0.36,0.0,0.8333333,0.0,1.0
0.0,0.0,0.22,0.0,1.0,1.0,1.0,0.0,0.23,0.0,0.64285713,0.0,1.0
1.0,0.0,0.27,0.0,1.0,1.0,2.0,0.0,0.32,0.0,0.4375,0.0,1.0
0.0,0.0,0.29,0.0,1.0,2.0,2.0,0.0,0.31,0.0,0.79444444,0.0,1.0
0.0,0.0,0.28,0.0,0.0,2.0,2.0,0.0,0.37,0.0,0.8,0.0,1.0
0.0,0.0,0.22,0.0,1.0,1.0,6.0,1.0,0.37,1.0,0.89634144,1.0,0.0
0.0,0.0,0.31,0.0,1.0,2.0,3.0,0.0,0.39,0.0,0.87857145,0.0,1.0
0.0,0.0,0.32,0.0,0.0,2.0,1.0,0.0,0.32,0.0,0.77205884,0.0,1.0
0.0,0.0,0.33,0.0,1.0,2.0,1.0,0.0,0.39,0.0,0.90102386,0.0,1.0
