Year,Name,MasFem,MinPressure_before,Minpressure_Updated_2014,Gender_MF,Category,alldeaths,HighestWindSpeed,NDAM,Elapsed Yrs,Source
1950,Easy,5.40625,958,960,0,3,2,125,2380,63,MWR
1950,King,1.59375,955,955,0,4,4,134,7220,63,MWR
1952,Able,2.96875,985,985,0,1,3,125,210,61,MWR
1953,Barbara,8.625,987,987,1,1,1,75,78,60,MWR
1953,Florence,7.875,985,985,1,1,0,115,21,60,MWR
1954,Carol,8.53125,960,960,1,3,60,115,24962,59,MWR
1954,Edna,7.625,954,954,1,3,20,125,4010,59,MWR
1954,Hazel,8.21875,938,938,1,4,20,134,36450,59,MWR
1955,Connie,8.0,962,962,1,3,0,137,2710,58,MWR
1955,Diane,8.875,987,987,1,1,200,103,52990,58,MWR
1955,Ione,6.21875,960,960,1,3,7,140,8410,58,MWR
1956,Flossy,7.21875,975,975,1,2,15,90,2060,57,MWR
1957,Audrey,8.59375,946,946,1,3,416,127,4750,56,wiki
1958,Helene,8.8125,946,946,1,3,1,150,778,55,MWR
1959,Debra,8.4375,984,984,1,1,0,85,620,54,MWR
1959,Gracie,9.53125,950,950,1,3,22,140,710,54,MWR
1960,Donna,8.875,930,930,1,4,50,143,78260,53,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf
1960,Ethel,7.0625,981,981,1,1,0,115,45,53,MWR
1961,Carla,8.625,931,931,1,4,46,174,22270,52,MWR
1963,Cindy,8.9375,996,996,1,1,3,80,410,50,MWR
1964,Cleo,7.125,968,968,1,2,3,155,8750,49,MWR
1964,Dora,8.28125,966,966,1,2,5,134,22720,49,MWR
1964,Hilda,7.65625,950,950,1,3,37,150,3620,49,MWR
1964,Isbell,8.3125,974,974,1,2,3,125,1120,49,MWR
1965,Betsy,9.0,948,948,1,3,75,155,21250,48,MWR
1966,Alma,7.15625,982,982,1,2,6,125,1120,47,MWR
1966,Inez,6.46875,983,983,1,1,3,150,120,47,MWR
1967,Beulah,6.34375,950,950,1,3,15,162,7010,46,MWR
